,부서,사업명,제안취지,사업내용
256,자치행정과,신천동로 출구 교차로 알림이 설치,안전사고 우려,신천가람타운에서 나오는 신천동로 출구 교차로 알림이 설치
257,자치행정과,골목길 타일 벽화 조성,도시 미관을 아름답게 조성하여 주민들의 마을 공동체 의식 함양 등,신암그린타운과 신천가람타운 109동 사이 골목길 타일 벽화 조성
258,자치행정과,유휴지 체육시설 노후된 운동시설 및 벤치 교체,유휴지 체육시설 운동시설 및 벤치 노후,신천가람타운 옆 유휴지 체육시설 노후된 운동시설 및 벤치 교체
259,도로과,수성교하류징검다리ㅡ> 수성구름다리,신천ㅡ운동길 *신천교하류징검다리*<br>돌다리->보완 <br>수성을 더 알리고 관광과 안전,"건강을 위해(허리수술로인해)<br>신천을 걷기 시작하면서 주위도 둘러보고 <br>애착이 가고 느끼고 불편했던부분을 <br>생각?스치기만했는데 이렇게 전달할수있어 좋아요.<br><br>*신천교 하류징검다리*간판부분<br>돌맹이 밟고 운치?살짝<br>위험도 하고 아이들 씽씽카 갖고 가다 <br>저 실제로 빠트려 건지기도 하고ㅠ<br>무거운 자전거 위태위태 조심 갖고 <br>갈려면 엄청 힘들고 위험해요.<br>아이와 함께 지날때면..<br>ㅈㅓ도 안절부절 난해한 곳..<br>냄새 ㅡ악취를 느끼며 걸어야 반대편으로 갈수있는 곳ㅠ<br>비 내려서 수위가 높아질무렵<br>막지 않았고 여기서 건너지 않으면 동신교까지 내려가서 돌아가려니 엄두나 나지않아<br>아이와함께 반정도 건너다<br>돌물에잠가상태@@발 다젖고 아이와 위험하게 마저 건넜던 위험했던기억..<br><br>일명ㅡ아양교 해맞이 다리처럼~~<br>*안전하고ㅡ관광?효과까지<br>(김광석거리)인접효과+<br>*자전거.씽씽카.유아.유모차등..<br>이동의 편리함<br>*비가 많이올때 범람시 <돌다리잠김><br>둘러서 가면 아주불편<br>출입금지에서ㅡ안전이동가능<br>*동신교 수성교 사이( 하천이동)용이함<br>*(수성하늘다리){꿈다리)ㅡ일명<br>다리위로 이동.건너면 악취에서 벗어남.<br><br>**추가<br>직장인이라 밤에 운동시 <br>장어집 에서아래 신호등지나<br> 남산고 가는 방향 가로등3~4개 불안들어와요.<br>돌길건너는 그래도 걷는사람들 제법되니 어두워도 덜 무서운데<br><br>이길은 찻길옆ㅡ인적도 드물고 운동하는 <br> 길폭도 좁아 가끔멀리서 한명씩와도 조금..겁?나요,.가로등까지 꺼져있어서<br>빠른 보완.작업필요해요.<br><br>대구 신문고?(라디오광고ㅡ불편사항접수하는곳통해)몇달전 전화까지했는데도..<br><br>시정안되고 있어요.<br>마침 이구간이라 함께 요청합니다,<br><br>아름답고 편리하고<br>안전한 수성~♡기대해볼께요!"
260,교통정보서비스센터,내 가족 생명은 과속 구간 단속카메라가 지킨다,대형 트럭 과속. 난폭으로 부터  가족의 생명과 재산을 지키는  안전 지킴이.<br>구간단속 카메라 설치가 정답이다.(경찰청 연구자료 참고.),"1. 현재 상황 - 신천대로 가창방향 상동교 지나 두산교 3거리 부터 가창면 일대  청도 경계까지  양방향에<br>  아파트 공사장 일로 추정되는  대형 덤프 트럭이  년중 내내  과속과 난폭 운전을 일삼고 잇다.  <br>  신호 무시는 여사로 하고   40-60키로  제한 도로에 70-80 이상 과속으로  일반 승용차와  속도 준수하는 대다수 차량의 흉기가 되고 잇어요.<br><br>경찰관이   단속 할때  잠시 그 때 뿐이고  생지옥 입니다.   중간에  네거리에  단속 카메라가 2-3대 잇지만 거기만 지나면 무법 천지 입니다.<br><br>2. 이에   두산교  3거리.  가창 3거리.  청도 경계 지점. 등에  양방향에  구간 과속 단속 카메라 설치를 강력히 요청 합니다.<br>  내 가족의 생명안전 과  재산을 지킬수 있는  최선의 방법 입니다.<br><br>3,  대구에 사는 시민이면  주말 주중에  이길을 자주 이용 하리라 봅니다.  <br>     저는 1년여 전  교통 사고를 당해  지금도 허리. 목  치료를  받고 있으나  고통이  이만 저만이 아닙니다.<br>    나와 내 가족이 이길을 안전하게 지나고  행복 할수 잇게  빠른 시일안에  <br>설치 를 요청 합니다."
261,수변공간개발과,신천산책로 벚꽃 야경조명 설치,"짧은 벚꽃 개화기간동안, 벚꽃이 보고싶지만 야간에만 볼수있는 바쁜 직장인들을 위한 벚꽃길 조성",신천산책로 부근 벚꽃이 많이 피는데 1년에 한번뿐인 짧은 벚꽃 개화기간동안 바쁜업무로 인해 벚꽃을 보지 못하는 직장인 및 사람들을 위해 벚꽃길에 조명을 설치하여 코로나로 인한 암울한 분위기를 짧은 벚꽃 기간동안만이라도 따뜻하게 보낼수 있음.
262,,신천둔치 산책로 바닥에 조명 설치해주세요,신천둔치 산책로 바닥 내 친환경 태양광 매립등 설치,ㅇ신천둔치 내 사람들이 많이 이용하는 구간 바닥에 <br>   친환경 태양광 매립등 설치하여 밤 산책 시 안전한 환경 조성<br><br>ㅇ바닥 조명 설치로  아름다운 야간 경관 조성
263,산림녹지과,"""꽃보라 동산길을 따라 걸어봄"" 사업",- 어린시절 동네에 심었던 벚꽃나무가 지금은 벚꽃명소가 되었습니다.<br>   꽃보라동산의 벚꽃길을 금호강까지 연장하여 꽃보라동산 벚꽃길을 조성하여<br> 시민들이 힐링할 수 있는 공간을 마련하고 도시미관을 개선하고자 합니다.,"사업기간 : 2022. 1. ~12.<br>사  업  비 : 100,000천원<br>사업내용 : 꽃보라동산의 벚꽃과 연계하여 시청별관~신천~금호강변을 따라 벚꽃길을 조성"
264,자연재난과,금호강변로 조성,신천에서 금호강을 이어 팔달대교까지 걷는 구간 미흡,"사업위치 : 신천 침산동구간에서 금호강 팔달대교 구간<br>사업내용 : 걸을 수 있도록 정비되어 있다고는 보여지나 중구, 남구, 수성구에 이어지는 깨끗하고 밝은 이미지와는 다르게<br>                   편의시설이 많이 부족하며 산책로와 자전거 구간의 구분이 명확치 않음.<br>    - 편의시설 필요( 벤치 등)<br>    - 자전거도로와 도보구간의 경계가 필요<br>    - 잔디, 갈대, 계절화 등 볼거리 제공이 필요.<br>    - 가능 중간에 자전거 수리시설이 있는 광장에는 많은 구간이 잔디훼손이 심하고 쉼터 조성이 미흡함."
265,자치행정과,접이식 장수의자 설치 요청!,신천3동 횡단보도 및 경사진 언덕 등에 접이식 장수의자를 설치하여서 연세가 많으신 어르신들이 이용하게 한다면 어르신들의 안전을 책임지는데 참 좋을 거 같습니다.,신천3동 횡단보도 및 경사진 언덕에 접이식 장수의자를 설치(8~10군데)
266,자치행정과,학교 앞 횡단보도에 엘로카펫이 필요해요,신천초등학교 앞 횡단보도(송라로 38 앞 횡단보도 혹은 신천초등학교사거리 부분)에 엘로카펫을 설치하여 요즘 빈번히 발생하는 어린이 교통사고의 위험을 낮추는 효과를 기대함.,엘로카펫 설치를 위한 도색
267,자연재난과,신천변 교각하부 운동기구 설치,신천변 교각아래 운동기구를 설치하여 무더위와 햇볕을 피하면서 사계절 운동 가능,신천변에 운동기구가 드문드문 설치되어 있는데 5월만 되어도 햇볕이 따가워 사용하지 않게 됩니다.<br>교각아래 의자와 운동기구를 설치한다면 운동기구를 이용하기 좋을것 같습니다.
268,자치행정과,신천3동에 네프론(인공지능 순환자원 회수로봇)이 필요해요!!!!,코로나19로 인해서 플라스틱 등 쓰레기 문제가 많이 대두되고 있는데 네프론(인공지능 순환자원 회수로봇)을 신천3동에 설치해 주시기 부탁드림.<br>이 네프론을 이용하면 포인트를 쌓을 수 있게 해서 나중에 현금으로 전환하는 사업을 광주에서 시범적으로 했다는 것을 들은 적이 있으므로 대구에도 도입하기를 요청함.,신천3동 행정복지센터나 혹은 유동인구 많은 지역에 설치 요청
269,,신천둔치 산책로 포장을 새로 해주세요,둔치 안에 산책로 포장이 많이 벗겨졌습니다.,"산책로 포장을 새롭게 함.<br>길이 : 900m, 폭3m"
270,도로과,안전한 도로망 확충,태평로 일원(동인네거리~신천교 네거리) 양방향 인도의 점토블록의 노후 및 파손으로 보행자 안전과 도시미관이 저해됨,태평로 일원 점토블록 정비(동인네거리~신천교 네거리)<br> - 태평로 양방향 인도 점토블록 정비 및 가로수 부리 제거 등(L=400m 양방향)
271,자연재난과,신천둔치 공원 어플만들기,"○ 신천둔치 공원을 이용하여 걷기, 뛰기 등 운동을 하는 시민들이 많아졌지만 신천산책로에 대한 정보를 알아볼 수 있는 곳은 없음. 화장실, 개수대는 어디에 있고 운동기구는 어디에 어떤 것들이 있는지 정보가 없어 이용할시 불편함을 느낌. <br>○ 신천에서 비정기적으로 이루어지는 행사정보를 찾기가 힘들고, 정확히 신천 어느지점에서 진행되는지 위치를 찾기 힘듦.<br>○ 신천을 이용하는 시민들이 신천관련하여 총체된 정보를 쉽게 찾아 볼 수 있었으면 함.","[ 신천어플 제작 ]<br>○화장실, 개수대, 게이트볼장, 농구대, 운동기구 등이 어디에 있는지 쉽게 찾아볼 수 있도록 기재하고 gps를 켰을 시 내가 어디쯤 위치하고 <br>있는지 알아 볼 수 있도록 제작. <br>○신천을 이용하여 산책, 뛰기 등의 운동을 하는 사람이 많음. 대부분의 사람들은 본인이 얼만큼 뛰었고 어느 속도를 유지하고 있는지 <br>알아보기 위해 관련 어플을 이용하고 있음. 신천어플에도 이와같은 기능을 함께 첨가하고, 주기적인 이벤트를 통해 대구시민들의 <br>참여도를 높힘.   ex. 이벤트예시: 신천이용 누적거리 1등을 찾아라 / 신천의 개선되야 할 곳을 사진찍어 보내주세요 <br>○공지사항 게시판을 제작하여 스케이트장, 수영장, 문화행사 등 비정기적으로 진행되는 부분과 홍수 등 자연재해로 인해 발생한 문제 등 신천과 관련된 모든 것들을 신천어플에 공지.<br>○자유게시판을 제작하여 신천을 이용하는 시민들이 자유롭게 관련하여 의견을 주고받을 수 있도록 함."
272,자연재난과,신천에 조명분수대 설치,"북구8경인 꽃보라 동산은 최근 찾는이가 많아 새로운 명소로 되고있으나, 연접한 신천에 별다른 볼거리가없어 조명분수대를 설치하여 지역을 찾거나 신천변 체육시설을 이용하는 시민들에게 즐거운 볼거리를 제공하고자 함",경대교에서 도청교 사이 신천에 조형물과 어울어진 조명분수대 설치
273,,신천변 출입구 자전거 보관소 설치,출퇴근 시간 교통체증감소 및 대기오염방지,신천변에서 주민들이 주 출입하는 장소 주변에 자전거 보관소를 설치하여 시민 출퇴근 시 이용할 수 있도록 배려하고<br>자동차와 자전거가 도로에 동시 진입시 발생 할 교통사고를 미연에 방지
274,,금호강 관광로드조성사업,금호강 관광로드 조성으로 타 지역 방문객 유치 및 계절별 걷기좋은 환경조성,"신천변 걷기 길을 따라 하중도까지 벚꽃나무(혹은 풍성하게 가지가 드리워지고 수목경관이 빼어난 수종)식재로<br>늦봄. 여름철 차양, 늦가을,겨울철 찬바람 차단으로 걷기 활성화및 관광명소화"
275,환경정책과,포스트코로나 시민참여형 대구시 숨겨진 생태관광지 활성화,"한국관광공사가 지난 2021년 1월 오픈한 관광특화 빅데이터 플랫폼 ‘한국관광 데이터랩’ 분석에 따르면, 코로나19의 영향으로 2020년 전국 지역 방문자수는 2019년도 대비 평균 18% 감소했다. 하지만 이런 가운데에도 잘 알려지지 않은 숨겨진 관광지, 비대면 자연관광지, 캠핑장, 수도권 공원 등은 오히려 방문자수가 늘었다.<br><br>코로나19가 백신접종등의 효과로 완전히 사라진다 하더라도, 외국과의 단절은 당분간 이어질것이고, 관광객의 달라진 욕구 변화까지 합쳐져 숨겨진 관광지, 비대면 자연관광지에 대한 수요는 계속 늘어날것으로 보인다. <br><br>결국 숨겨진 관광지를 잘 개발하고 이를 홍보하고 뒷받침하는 정보를 제공한다면 코로나 19로 심각한 어려움을 겪고 있는 대구지역 경제를 살릴 수 있는 새로운 관광산업을 창조해낼것으로 판단한다. 이에 대구시의 숨겨진 생태관광지를 발굴하고 이를 홍보하고자 한다. 또한 누리집을 통한 시민참여로 생태관광지역내 다양한 식생현황을 구축하는 한편 통합정보(특히 자녀교육용 정보)를 제공함으로서 대구시의 생태관광을 활성화시키고자 한다.","1. 생태관광의 확산 전략 <br><br>생태관광은 일반적으로 지역의 자연 및 인문자원을 보전하고 이를 관광자원으로 활용하여 지역사회에 환경적, 사회적, 경제적 편익을 높이는 대안 관광의 형태를 말한다. <br>우리나라는 1999년 자연환경보전법에 ‘생태관광’ 관련 조항이 신설되었으며 대구시는 2020년 대구광역시 생태관광 육성 및 지원조례가 제정되었다. <br><br>무려 20년이 지나 대구에 관련 조례가 제정된 이유는, 생태관광을 도식적으로 청정자연자원이어야 한다는 고정관념이 있었으며, 관광산업을 대중화 및 대량화로 개발 육성해야 한다는 인식이 저변에 깔려있었던 것으로 보인다. <br><br>하지만 생태관광에 대한 다양한 정의에는 비교적 훼손되지 않은 자연환경지역, 환경교육 기회 제공을 통한 환경의식 제고, 지역사회 경제효과라는 세 요소가 공통적으로 강조되고 있어 덜 훼손된 환경지역으로 대상지를 넓히면 대구지역 산과 강, 저수지등 상당히 많은 곳이 대상지가 될 수 있다. <br><br>오히려 생태관광의 특성 (20명 이하 소수집단)을 포함하고, (자녀와 함께 하는 체험교육)을 제대로 활용하면, 유명한 관광지를 제외한 모든 곳이 생태관광이 가능한 곳으로 만들어 나갈 수 있다. <br><br><br>2. 시민 참여로 대구시 숨겨진 생태관광지 발굴 및 통합 정보제공 시범사업 흐름도<br><br>첨부파일 #1 사업흐름도 <br><br>3. 시범사업 예시 (7곳 발굴 예정중 1곳인 신천발원지를 사업예시로 삼았음)<br><br>① 대구의 숨겨진 생태 관광지 발굴 (활성화 사업 7곳중 신천발원지를 예시)<br>→  신천의 발원지  : 대구 달성군 가창면 우록리 우미산 남서쪽 밤티재 (570m) <br>&amp;dArr;<br>② 대구 숨겨진 생태관광지 홈페이지 제작 및 운영<br>: 1차 시범사업 (7곳에 대한 내용 제공)<br>&amp;dArr;<br>③ 생태관광지 식생 + 역사문화 기초정보 제공 <br>: 발원지는 ‘흐르는 물줄기가 처음 시작 한곳’ 이며 ‘어떤 현상의 최초의 발생 근원이 되는 곳’을 말한다. 신천의 발원지는 대구의 수많은 생명을 탄생시키고 번영과 발전을 가져다준 근원, 신천의 모든 곳이 출발한 생명의 문화를 갖고 있는 곳이다. <br><br>- 신천의 발원지 <br>(우미산 남서쪽 계곡 최장 발원지 + 유역면적이 가장 큰 남지장사 청산 자락)<br><br>대구광역시의 북쪽에서 남쪽으로 흘러드는 신천은 대구광역시의 동쪽에서 서쪽으로 흐르는 금호강의 지류이면서 또한 금호강과 더불어 대구시의 중심하천이다. 신천의 최장 발원지는 대구광역시 달성군 가창면의 우미산 남서쪽 위치한 밤티재(570M)부근이다. <br><br>첨부파일 #2 신천의 발원지 지도 <br><br>첨부파일 #3 발원지에서 우록지까지 흘러가고 있는 지점사진<br><br>이 곳 밤티재에서 출발한 신천은 대구광역시 달성군 용계군 가창교 남쪽에서 신천의 지류인 용계천을 합류하여 대구광역시 북구 침산동에서 금호강에 합류하는 유역면적 150㎢ 총길이 27㎞에 달한다.<br><br><br>신천의 발원지(최장) 식생과 주요 지점 <br><br>신천의 식생은 ‘가는 쑥부쟁이, 갓, 개갓냉이, 개나리’등 94과 238속 354종등 다양한 식물과 수달등 다양한 동식물로 구성되어 있다는 건 여러 자료에서 나와 있다. <br>하지만 신천의 발원지는 산속에 위치한다는 점에서 신천의 식생과 다를 수밖에 없다. 특히 근처에는 목백합 군락지가 있어 대구지역의 다양한 식생을 알수있게 해준다. <br>요즘은 다양한 앱의 개발로 인해, 스마트 폰만 있으면 어떤 식생인지 알아내는 것은 어렵지 않다. <br>홈페이지에 신천의 발원지 식생을 발견해서 올릴수 있는 시민 참여 공간을 배치해서 어린 학생들을 유도한다면 자연환경교육에 상당한 도움을 줄것으로 판단한다. <br><br>첨부파일 #4 목백합군락지와 목백합<br><br>첨부파일 # 5 신천발원지의 다양한 식생들<br> <br><br>우록지 :<br>신천의 발원지 근처 우록지는 산속 저수지로 숨겨진 비경을 자랑하고 있다. 신천강의 발원지 탐사와 더불어 우록지 탐방은 그것만으로, 생태관광체험의 묘미를 느끼게 한다. <br><br>첨부파일 # 6 우록지<br><br>&amp;dArr;<br>④ 소규모 생태관광 → 식생 정보 수집 시민 참여 <br>소규모(가족등)로 생태관광을 하면서, 스마트폰 검색 렌즈를 활용하면 원하는 식생의 이름등을 알수 있다. 이 방법을 사용해서 식생의 사진과 이름등을 홈페이지에 올리면, 찾은 이의 이름을 함께 명기하는 방법으로 어린 학생들과 가족들이 함께 참여가 가능할것으로 보인다. 이러한 정보수집으로<br>&amp;dArr;<br>⑤ 홈페이지 정보 수정 확대를 해나감으로서 ‘시민참여형 대구시 숨겨진 생태관광지 발굴 및 통합 정보’가 제공되게 한다."
276,,북구따릉이사업,신체활동 활성화를 통한 구민건강증진,현재  사기업에서 시행하고있는 자전거렌트사업은 금액이 비싸서 많은 주민들이 이용하기 어려움이 있음<br>이에 자전거도로가 잘 정비되어있는 신천변(경대교~팔달교~금호대교)에 무인 무료 자전거대여소 설치<br> - 홈페이지를 통해 사전신청->qr코드로 본인인증후 요청한 대여소에서 자전거렌트->지정된 장소에 자전거반납
277,자치행정과,신천시장 불법쓰레기 근절을 위한 CCTV 설치,신천시장 앞 불법투기가 근절되지 않아 CCTV설치를 요청합니다.,"신천시장에는 담배꽁초 및 불법투기가 끊이지 않고 있습니다.<br>매일 환경미화원께서 열심히 청소해주시지만, 밤이 지나고 나면 또 더러워집니다.<br>근본적으로는 시민의식 개선이 필요하지만, 우선적으로는 CCTV 설치만으로도 많은 불법투기를 근절할수 있기에<br>신천시장 가로변 CCTV 설치를 요청드립니다."
278,,신천 비단잉어 방류 사업,대구시민 가장 많이 걷기 운동하는 신천에 잉어가 놀고 있어 모두들 좋아합니다. 하여 여기에 비단잉어가 같이 놀고 있으면 더욱 좋아하며 시민 정서 생활에 도움이 될 것으로 생각합니다.,"대구 신천에 년차적으로, 지속적으로 비단잉어를 방류함"
279,도시정비과,도심 주거환경 미화에 많은 예산편성을 기원합니다., ,"대구, 도심 주거지역에 폐가, 주민이 살지 못하는 파손된 주택 많이 있는 것으로, 알고 있습니다. 재개발 등으로 투기이익을 얻기 위해 파손된 집만 사두고 5년 이상 심지어는 10년 이상 방치, 하여 도시 미관을 해치고 또한, 이러한 집들이 대부분 『슬레이트』 지붕으로 지붕이 허물어 저 일급 발암물질이라는 『슬레이트』 가루가 인근, 가옥으로 날아가서 주민들의 건강마저 해치고 있습니다.<br>동사무소에 가서 민원을 말하면 사유 재산권 등의 이유로 답이 없다고 말합니다. 대구시나 구청에서는 많은 위원회등이 있어 해결할 수 있을 것으로 알고 있습니다. 특히 환경 관련 부서에서 발암물질 방치에 대한 행정조치를 할 수 있는 것으로 사료 됩니다. 만<br>이에 앞서 주민 건강과 도심 미관을 생각하시어, 먼저 철거하여 재건축이나 재개발할 때 가지 꽃밭이나, 주차장 등으로 이용할 수 있게 하여 도심 미관을 좋게 함과 동시에 주민 건강에 도움이 되도록, 폐 가옥 철거에 많은 예산을 편성하여 주시길 기원합니다. <br>뒷면에 동구 신천동에 있는 폐 가옥 사진 한 장, 소개<br>합니다. 이 사진 속의 집은 사람이 살지, 않은지 10년이<br>넘었습니다. 폐가 마당에 오동나무가 너무, 커서 이웃 주민들이 매년 자르고 불편이, 많습니다.<br>여름에는 모기 발생지 원산입니다.<br>사진에 보는 바와 같이 『슬레이트』 지붕이 허물어, 저 주민 건강에 지장이 많습니다."
280,장애인복지과,신천 전동 휠체어 충전소 구축, ,장애인 및 어르신들의 산책로 이용시 편의 제공을 위해 충전소 설치<br>-장애인 및 어르신 등 사회적 약자를 위한 편의 제공
281,도로과,청호로 도로의 노면을 깨끗하게 해주시기 바랍니다.,청호로 도로 노면이 울퉁불퉁하여 차량이용이 불편함,청호로 수성소방서에서 신천지 하이즈쪽으로 자주 이용하는 시민입니다. 도로 노면이 울퉁불퉁하여 평소 이용이 많이 불편합니다. 개선해 주세요.
282,자연재난과,신천동로 화장실 설치,신천동로를 이용하는 주민들의 불편을 해소하고<br>신천동로 이용을 활성화 하는 한편 주민의 편의성 도모,남산고 앞 신천동로에<br>남산고등교차로 주변으로 <br>화장실 설치
283,자연재난과,신천산책로 기점표지판 및 안전벨 설치,"○ 신천은 달성군에서 북구까지 길게 이어져 있어서 걷다보면 이곳이 어디쯤인지 알기 힘든 상황이 생김. <br>○ 위급상황이나 안전문제가 생겼을 시, 경찰에 신고를 하더라도 내가 있는 곳이 신천 어디쯤인지 명확하게 설명하는 것이 어려워 상황대처가 늦어질 가능성이 큼.","○  고속도로 기점표지판처럼 현재 있는곳이 어디인지 알아볼 수 있는 신천기점 표지판 설치 및 안전벨 설치. <br>  (신천은 약 12km이므로 200m기점으로 나눌 시 60기점, 300m 기점으로 나눌 시 40기점이 나옴.)<br>○ 신천산책로는 밤이되면 길이 어두워 잘 보이지 않기 때문에 일정한 지점마다 가로등이 있음. 가로등 기준으로 기점을 표시하고 안전벨은 부착하여 어두운 밤에도 시민들이 잘 볼 수 있도록 함."
284,도시디자인과,신천철도교 밑 보행자 통로 벽화 조성,신천철도교 및 보행자 통로 환경 개선,신천철도교 밑 신천동로 보행자 통로 벽화 조성
285,도로과,울퉁불퉁 인도블록을 교체해주세요,신천역3번 출구에서 동부로 32 까지 인도블록 파손 등으로 인하여 보행 시 사고 우려,인도블럭을 교체 해주세요.
286,자연재난과,야외 운동기구 보수 및 교체, ,이용빈도가 높은 도청교 주변 신천둔지 야외형 운동기구 주기적 보수 및 교체
287,자연재난과,팔거천에 주민편의시설을 설치해주세요, ,"팔거천 주변을 요즘 개선하고 있던데.. 가로등이나 주민편의시설이 부족한것 같습니다.<br>신천에는 사람들이 공연을 하기도 하고, 출입구나 벽면에 벽화 등을 조성하여 시민들의 휴식공간으로 자리잡혀 있습니다.<br>많은 칠곡 주민들이 애용하는 팔거천에도 벽면에 타일 벽화, 야간 이용자를 위한 조명, 그리고 간이 무대 등을 설치하여<br>지역민들에게 휴식의 공간을 제공하면 좋겠습니다."
288,도시디자인과,도청교 경관 조명 사업,"도청교는 시청별관,신천,꽃보라동산 등 유동인구가 많고 특히 도시융합특구가 조성될 지역이라 경관조명을 설치하여 대구를 찾는 내방객에게 볼거리 제공",도청교 다리를 경관 조명등 특색있게 디자인
289,자연재난과,금호강 오롯이 즐기기,"금호강은 신천과 더불어 대구의 중심을 흐르는 중요한 자연 자원입니다. 하지만 신천에 비해 제대로된 정비가 부족하고, 야구장캠핑장 등 대형 공사에 중점을 두고 진행되어 일반 시민들이 자연을 즐기기에는 어려움이 있어 이 사업을 제안합니다.","1. 금호강 쉬면서 즐기기<br>- 금호강의 자연을 즐길 수 있는 쉼터의 조성(옛 나루터 개발 또는 누각 복원)으로 역사를 담은 조형물을 조성하여 자연과 함께하는 쉼터 마련<br>2. 금호강 눈으로 즐기기<br>-SNS를 즐기는 젊은이들이 금호강을 사진으로 담을 수 있는 포토존의 조성 및 주변환경 조성(갈대숲, 해바라기숲)을 통한 머무르며 즐길 수 있는 콘텐츠 조성<br>3. 금호강 이슈 콘텐츠<br>-금호강을 콘텐츠로 진행되는 가장 큰 축제인 금호강 바람소리길 축제는 2일간 반짝 진행되어 금호강을 제대로 알기에는 부족한 시간임. 그래서 상시로 금호강을 찾는 시민들이<br>즐길 수 있는 위치기반 AR콘텐츠를 제작(서거정의 대구 십영: 금호범주, 노원송객)하여 금호강의 의미를 되새기는 이슈 콘텐츠 마련"
290,도시디자인과,신천 교량 경관 조명 정비 사업, ,신천 교량에 경관 조명을 설치하여 신천에 산책하거나 방문하는 주민들에게 볼거리 및 힐링 장소를 제공할 수 있음.
291,자연재난과,신천둔치 노후 운동기구 개선 사업, ,신천둔치에  녹슬거나 노후화되어 제대로 작동하지 않는 운동기구가 많습니다. 노후화된 운동기구를 교체하여 재설치하거나 수리한다면 주민들이 애용하는 신천둔치 운동시설 사용에 불편함을 겪지 않도록 할 수 있을 것입니다.
292,농산유통과,신천둔치 인근 반려동물 배변봉투함 설치, ,남구 신천에 반려동견을  산책시키는 주민이 많습니다. 문제는 반려견 배변시 배변봉투를 가져왔더라도 이를 따로 버릴 곳이 마땅치 않아 일반쓰레기통에 버리거나 아무데나 투기하여 거리가 더러워지고 주민들이 불편을 겪고 있다는 것입니다. 고로 이에 대한 해결책으로  사용할 수 있는 공공 배변봉투함을 설치한다면 주민들에게 편의를 제공함과 동시에 거리 청결도 유지할 수 있을 것입니다.
293,자연재난과,신천둔치 쓰레기통 및 불법투기 방지용 CCTV 설치, ,신천둔치는 대구시민들이 자주 이용하는 힐링공간입니다.<br>시민들과 관광객들이 깨끗한 신천둔치에서  즐겁게 운동도 하고 쉴 수 있도록<br>쓰레기통과 쓰레기불법투기 방지용 CCTV를 함께 설치해 볼 것을 제안합니다.<br>쓰레기통 디자인에 대구 캐릭터를 이용한다면 대구시를 홍보하는 효과도 있을 것입니다.
294,교육협력정책관,신천둔치 작은 도서관,책을 대출하기 위해 버스를 타고 멀리 있는 도서관까지 가야하다보니 잘 이용하지 않게 됨<br>산책하는 주민 등 유동인구가 많고 접근이 용이한 신천 둔치에 작은 도서관을 만들어주었으면 함,신천 둔치에 작은 도서관 건립
295,자치행정과,녹지공간 조성, ,대현e편한세상 아파트 ~ 신천동로 사이  빈 공간 <br>화단 또는 녹지 공간을 조성하여 보기 좋은 경관 조성
